School,SchoolID,first_name,last_name,gender,OEN,Student Grade Level,Enrollment Status,Reporting Period,Resp,Ind Work,Init,Org,Coll,Self Regulation,Read,Write,Oral Comm,Media Lit,Listen French ,Speak French ,Read French ,Write French,Num Sense Numeration,Meas,Geom and Spatial,Patt and Alg,Data Mgt,Science and Tech,Hist,Geog,Soc Studies,Health,Phys Ed,Dance,Drama,Music,Vis Arts
Warner Community School,5676,Loutitia,Forshaw,Female,193629373,1,0,R1,S,N,N,N,S,S,D,D-,D,D,,,,,D+,D,D+,D,D-,C-,81,55,C,C-,C+,B+,,B+,C
Warner Community School,5676,Arvie,Musterd,Male,828186346,1,0,R1,S,G,G,S,G,G,B,C+,C,B-,,,,,B-,B-,B,B,C,B,96,82,C+,B,A,B+,,B+,C+
Warner Community School,5676,Cyrus,Revan,Male,506357373,5,0,R1,E,E,E,E,E,E,A-,B+,A,A-,A,A-,A-,,B+,B+,,B+,B+,A-,73,81,A,A,A,,A-,B+,B
Warner Community School,5676,Geno,Laidlaw,Male,953073569,8,0,R1,N,S,N,S,S,N,60,62,68,60,65,67,65,65,62,65,52,,65,61,56,99,,72,78,65,73,,65
Warner Community School,5676,Farrel,Benedicte,Male,554185896,1,0,R1,G,G,G,G,E,G,C+,B,B-,B+,,,,,B,B,B+,B,B-,B,81,59,B-,B,B-,B+,,B,A
Warner Community School,5676,Sim,Lusk,Male,624473359,5,0,R1,E,E,G,E,E,E,B,B,B+,B-,B,B,B,,B,C+,,B,B,B-,41,78,C,B,B,,B+,B-,A-
Warner Community School,5676,Northrop,Pickburn,Male,442698812,5,0,R1,G,E,E,E,E,E,B+,B+,A,B,B,B,B,,A-,A-,,A-,B+,B+,54,64,B+,A,A,,B,C+,B
Warner Community School,5676,Byram,Birtwhistle,Male,177627417,4,0,R1,S,S,G,G,G,G,B,B-,B+,B,A,A,,,B+,B-,,B,B+,B-,75,69,B,B+,B,,B+,B-,B-
Warner Community School,5676,Cherye,Baniard,Female,452605945,3,0,R1,E,E,E,E,E,E,A,A,A,A,,,,,A-,A-,,B+,A,A-,47,57,A,A,B+,,B+,B+,A-
Warner Community School,5676,Brnaby,Brockhurst,Male,491212064,5,0,R1,G,E,G,G,G,G,B-,C+,B,C+,B-,B-,B-,,B,B+,,B,B,C+,85,74,C+,B+,B,,B+,C+,B-
Warner Community School,5676,Caleb,Golland,Male,624030009,6,0,R1,E,E,G,G,E,E,B+,B,B+,B-,B+,B+,B+,B,A,B+,,A,B,B+,81,50,C+,B,A-,,B+,A-,B+
Warner Community School,5676,Miriam,Laste,Female,979019079,4,0,R1,S,N,S,S,S,S,C+,C+,B-,B-,C+,C,,,B,B-,,C+,B-,B-,97,94,B-,B-,B,,C+,B-,C+
Warner Community School,5676,Hugh,Joney,Male,189240767,6,0,R1,E,E,G,E,E,E,B,B+,A-,B,A-,B+,A-,B+,B+,B,,A,B,A,66,97,B+,A-,A,,B+,B+,A-
Warner Community School,5676,Silvester,McLane,Male,224253759,8,0,R1,N,N,N,S,S,N,60,60,65,62,65,65,65,65,58,65,58,,60,58,82,76,,70,86,68,70,,68
Warner Community School,5676,Dawn,Scudder,Female,308444624,5,0,R1,E,E,E,E,E,E,B,B,B+,B-,A,A-,A,,B+,B+,,B,B+,B+,65,86,A-,B+,B+,,B,B,B
Warner Community School,5676,Bernadina,Lantry,Female,142164500,3,0,R1,G,G,G,G,S,G,B,B+,B,B,,,,,B+,B,,B+,B+,B-,50,84,B,B+,B,,B,B+,B+
Warner Community School,5676,Mia,Lancashire,Female,560322244,7,0,R1,E,G,G,E,G,G,82,81,78,79,75,74,74,73,74,82,85,,78,82,79,86,,80,72,82,78,,86
Warner Community School,5676,Edyth,Fyndon,Female,443333611,5,0,R1,E,E,G,E,E,E,B,B,B+,B+,B+,B+,B+,,B+,B+,,B+,B+,B+,80,54,B-,A-,B+,,B,A,A-
Warner Community School,5676,Eydie,Fensome,Female,615175736,4,0,R1,N,N,S,S,N,S,C+,C,B-,B-,B,B,,,C+,B,,C,B-,C,64,76,B,C+,C,,C+,B,C+
Warner Community School,5676,Kora,Backhurst,Female,715112067,1,0,R1,N,N,S,S,S,N,C,C,C+,C+,,,,,B,B,B-,C,C-,C,93,91,C,B,B,C,,B,C
Warner Community School,5676,Ethelbert,Josephov,Male,978826189,4,0,R1,S,S,G,G,S,G,C,C+,B-,B,C,C,,,B,B,,B-,B,C,57,43,B-,B-,B,,C+,B-,C+
Warner Community School,5676,Pinchas,Arend,Male,623081886,7,0,R1,S,S,S,S,S,S,68,68,78,70,75,75,76,75,70,60,74,,68,76,89,68,,70,68,75,82,,73
Warner Community School,5676,Lanny,Grindlay,Female,492896362,6,0,R1,S,S,E,N,S,S,B,B-,A-,B+,B-,C+,C+,C,B,C-,,B-,C+,B-,91,65,C+,B+,B+,,B,B,B
Warner Community School,5676,Donia,Becke,Female,556117405,7,0,R1,S,S,S,N,G,N,65,68,74,66,70,72,70,70,68,62,68,,65,70,42,50,,72,77,71,72,,68
Warner Community School,5676,Davey,Ravelus,Male,557747655,5,0,R1,E,E,E,E,E,E,A-,A-,A-,B+,B+,B+,B+,,B+,B,,B+,B+,A-,81,89,A-,B+,B+,,B+,B,B+
Warner Community School,5676,Hedvig,Bustard,Female,976154980,3,0,R1,G,G,G,G,S,G,B+,B+,B,B+,,,,,B+,B+,,B,A-,B,82,51,A-,A-,B-,,B+,B+,A-
Warner Community School,5676,Genni,Sperling,Female,582405238,6,0,R1,E,E,E,E,E,E,B+,B+,A-,B,B+,B,B,B,A-,B,,A+,B+,A,51,44,B+,B+,A,,A-,A-,B+
Warner Community School,5676,Danit,Morrowe,Female,157939126,8,0,R1,E,E,E,E,E,E,82,86,82,85,85,82,84,84,89,95,90,,90,79,69,50,,83,83,90,72,,80
Warner Community School,5676,Boycie,Enrico,Male,862429415,1,0,R1,S,G,G,G,S,G,C+,B,B+,B+,,,,,B-,B-,B,B-,C+,B,70,70,B,B,B,B,,B,B
Warner Community School,5676,Hewitt,Christofle,Male,950130523,1,0,R1,S,S,S,N,G,S,C,C,C+,B,,,,,B-,B-,B,C,C-,B,65,53,C+,B,B-,B+,,B,C
Warner Community School,5676,Priscilla,Dougliss,Female,131799846,3,0,R1,S,S,S,S,S,S,C,C+,B-,C+,,,,,B-,B-,,C+,B,B-,61,80,B-,B,B,,B-,B,B-
Warner Community School,5676,Walker,Wibberley,Male,605390237,1,0,R1,S,S,G,G,G,G,B+,B,C,B,,,,,B+,B,B,B,B,B,85,73,B-,B,B-,B-,,B-,B
Warner Community School,5676,Eada,Bolf,Female,252286479,3,0,R1,G,G,G,G,G,G,B-,B,B,B-,,,,,B+,B-,,B+,B+,B-,49,95,B+,B+,B,,C+,B,B-
Warner Community School,5676,Gwenette,Oxe,Female,600223030,5,0,R1,G,G,G,S,G,G,B,B,C+,B+,C+,C,C,,C+,C+,,B,C+,B+,59,76,C+,B+,B,,B+,C,B+
Warner Community School,5676,Loutitia,Vango,Female,719027549,8,0,R1,S,S,G,S,G,S,72,75,75,74,77,77,76,72,62,65,61,,64,64,42,94,,76,80,82,80,,73
Warner Community School,5676,Modesty,Cecere,Female,217517077,8,0,R1,G,G,G,G,G,S,75,70,75,75,75,79,78,75,65,68,68,,68,70,98,40,,73,82,82,81,,80
Warner Community School,5676,Lynnelle,Coupar,Female,465656713,8,0,R1,G,G,E,G,G,G,83,80,78,65,79,80,80,79,74,88,77,,80,76,96,96,,82,86,90,83,,80
Warner Community School,5676,Janette,Gendricke,Female,235803154,7,0,R1,E,E,E,E,G,E,76,80,80,85,84,85,84,85,82,90,92,,85,84,96,85,,79,75,75,75,,74
Warner Community School,5676,Byron,Lottrington,Male,265258741,3,0,R1,S,N,G,S,G,N,D,D,C-,C+,,,,,B-,B-,,C+,B-,C+,85,58,B-,B,B,,B-,B,B-
Warner Community School,5676,Huntington,Ghiotto,Male,426261870,4,0,R1,G,G,G,G,G,G,B-,B-,B-,B-,B,B,,,C+,C,,B,B,C+,60,39,B,B-,B,,C+,B,C+
Warner Community School,5676,Karolina,Birt,Female,377212980,4,0,R1,S,S,G,S,S,S,B-,C+,B,B,C,C+,,,B+,B,,B+,B,C+,50,52,B+,B,B,,B-,B-,C+
Warner Community School,5676,Giorgio,Quant,Male,355423090,8,0,R1,S,G,S,G,G,S,65,68,70,65,79,80,76,76,76,68,65,,75,65,42,65,,70,70,73,70,,68
Bashford Public School,4447,Ilysa,Gotcliff,Female,405817364,2,0,R1,E,E,E,E,E,E,C+,C+,B,B,,,,,B-,B,,B,B,B,41,56,B,B,B,B+,,B,B+
Bashford Public School,4447,Fulton,MacAfee,Male,975854098,8,0,R1,G,G,G,G,G,G,75,70,72,70,77,73,73,77,72,68,,77,75,65,47,76,,78,78,87,73,,75
Bashford Public School,4447,Gene,MacGorley,Male,939115914,4,0,R1,E,G,E,G,S,G,B+,B,B+,,B+,B,,,A,A,A-,A-,A,B+,94,56,A-,A,B,B-,B,,B-
Bashford Public School,4447,Jordan,Soppit,Female,998306741,1,0,R1,N,S,S,S,S,N,C-,D+,B+,B,,,,,C+,B,,B-,B,B,94,72,B,B,B,B-,,C+,B-
Bashford Public School,4447,Agnese,Cleator,Female,836940500,3,0,R1,G,G,S,S,G,S,C,B-,C+,B-,,,,,D+,B-,C+,B,B-,B-,98,71,C,C+,C+,B,,B,C+
Bashford Public School,4447,Tarra,Desbrow,Female,784737788,8,0,R1,G,G,G,S,G,G,72,72,75,75,65,60,68,60,72,72,,67,75,67,76,89,,75,75,75,75,,67
Bashford Public School,4447,Bessy,Prop,Female,758020712,8,0,R1,E,E,E,E,G,E,83,83,72,83,72,72,75,75,85,83,,88,88,83,75,77,,78,83,85,85,,75
Bashford Public School,4447,Garrot,Pendergast,Male,768957804,4,0,R1,G,E,G,G,G,G,B,B-,B+,B,B,B,,,A-,A-,,A,A,B,49,64,B+,B+,B+,B,,B,B
Bashford Public School,4447,Rowan,Cossans,Male,818030931,7,0,R1,G,G,G,G,G,G,75,72,84,70,75,78,78,75,90,92,,90,80,90,48,39,,82,70,,80,76,60
Bashford Public School,4447,Byrle,Cummins,Male,337637796,4,0,R1,G,G,G,G,S,G,B+,B+,B,,B+,B,,,B+,A-,B-,A-,A-,A-,74,41,B+,B+,B+,B+,A,,B+
Bashford Public School,4447,Skyler,Godney,Male,489691148,8,0,R1,N,S,S,N,G,S,60,58,75,70,73,70,70,67,68,92,,78,82,60,44,39,,68,72,70,73,,67
Bashford Public School,4447,Hedda,Peach,Female,847010333,6,0,R1,G,S,S,S,G,G,C+,C,B-,C+,B,B-,B,B-,C,C,,C-,C,C,99,84,C+,C+,A-,B,B,C+,
Bashford Public School,4447,Carolann,Brewis,Female,914956438,4,0,R1,N,S,S,N,S,N,C,C-,C,C+,B,B,,,B-,C+,,B-,B-,C,75,76,C+,B+,B,B-,,B-,B-
Bashford Public School,4447,Lucille,Middleweek,Female,555134988,6,0,R1,N,G,G,S,G,S,C,C,B,B-,B-,B-,B,B-,C,B,,B,C,C+,83,85,B,C,A-,B,B,B,
Bashford Public School,4447,Jo-ann,Lerway,Female,322439007,8,0,R1,E,E,E,E,E,E,88,90,83,88,90,90,90,88,85,92,,85,92,88,41,96,,90,92,90,90,,88
Bashford Public School,4447,Gun,Waterhouse,Male,845359082,3,0,R1,E,E,G,E,G,E,A-,A,B+,A,,,,,A,B+,A+,B+,B+,B,81,85,B,B,B,B+,,B+,A-
Bashford Public School,4447,Lezlie,Gude,Female,207715115,8,0,R1,S,N,S,S,G,S,67,67,72,75,68,68,70,65,67,65,,65,72,65,79,87,,70,75,75,75,,72
Bashford Public School,4447,Hartley,Bulter,Male,314761970,5,0,R1,G,G,G,G,S,G,C,C,C,B,B,B-,C+,C+,C,C+,,B-,C+,C,95,64,C,B-,C+,B+,B,C+,
Bashford Public School,4447,Ash,Naisby,Male,961531655,8,0,R1,E,E,E,E,E,E,80,75,75,78,87,73,80,87,78,95,,79,80,75,90,47,,82,75,70,76,,80
Bashford Public School,4447,Clea,Burborough,Female,524179256,5,0,R1,E,E,G,E,G,G,B-,B+,B-,,B+,B,B+,,C+,B,A-,C+,B,A-,86,45,B+,B+,B,B+,B+,,B+
Bashford Public School,4447,Harrison,Scrafton,Male,845253005,1,0,R1,E,E,E,E,E,E,A-,C+,B+,B,,,,,B+,B,,B,B,B,58,47,B,B,B,B,,B,B+
Bashford Public School,4447,Dorice,Hryniewicz,Female,279320158,2,0,R1,E,G,G,E,G,E,B-,C+,B,B,,,,,B-,B-,,B,B,B-,100,44,B,B,B+,B,B,B+,
Bashford Public School,4447,Felice,Hoonahan,Female,913264827,2,0,R1,S,G,G,S,G,G,D,C-,B,B,,,,,C-,C+,,C,B,B-,75,56,C,C+,B,B,B,B,
Bashford Public School,4447,Lotti,Farmiloe,Female,570564443,2,0,R1,S,G,G,G,G,G,B,C,B,B,,,,,B+,A-,,B,B,B-,78,82,B,B,B,B-,B,B,
Bashford Public School,4447,Hetti,Rapp,Female,787697291,5,0,R1,S,S,S,S,S,S,C+,C+,B-,,B,B-,B,,C+,C-,C-,C+,B-,B,72,93,C,B-,C+,B+,B,,B
Bashford Public School,4447,Northrup,Fogden,Male,547961648,5,0,R1,S,G,S,S,G,S,C,D+,C-,C-,B-,B-,B,,D+,C-,,C-,C,C-,81,69,C-,C,B-,B+,B,,B-
Bashford Public School,4447,Robbie,Whitlow,Female,567814646,4,0,R1,G,G,G,S,S,G,B,B-,B,,B,B,,,B,B,B,B+,B,B-,54,73,B+,B,B,A,B,,B
Bashford Public School,4447,Renaud,Medford,Male,363991086,3,0,R1,G,G,S,G,G,S,B,B,B+,B,,,,,B,B,,B,B+,B+,71,48,B,B,B,B+,,B,B
Bashford Public School,4447,Hartley,Petrello,Male,782748872,8,0,R1,G,G,G,G,G,G,78,78,83,78,85,90,88,90,83,67,,70,75,75,76,53,,72,80,80,85,,72
Bashford Public School,4447,Morly,Falkous,Male,925319866,5,0,R1,S,S,G,S,N,G,A-,B,B+,,B-,B+,B+,,A-,B,A-,B,A,B,76,88,A,B,B,B,A,,A-
Bashford Public School,4447,Sonni,Seabrooke,Female,703311065,4,0,R1,G,G,G,S,G,S,C,C,B,,B-,B,,,B-,B-,B+,B,B-,C,78,86,C,C+,A-,B-,B,,B+
Bashford Public School,4447,Linet,Mussolini,Female,815887145,2,0,R1,S,S,S,S,G,S,C-,C-,B,B,,,,,D,C-,,C,C,C+,92,65,B,B,B+,B,B,B,
Bashford Public School,4447,Adria,Franies,Female,994400902,1,0,R1,G,S,G,G,G,S,B-,B-,B,B,,,,,A-,B+,,A,B,B+,49,72,B,A-,B+,B,,B,B+
Bashford Public School,4447,Garrot,Ottawell,Male,965130598,6,0,R1,G,G,G,G,G,G,C+,C+,B,B,B,B,B+,B+,B-,C+,,B+,B,B,39,39,B+,B+,A-,A,B+,B,B+
Bashford Public School,4447,Eolande,Garmon,Female,651948838,4,0,R1,E,E,E,E,E,E,B-,C+,C+,C+,B-,C+,,,B-,C+,,B,B-,A-,83,42,C+,C,B,B+,B,,A-
Bashford Public School,4447,Adam,Bulbeck,Male,513007216,3,0,R1,S,S,S,S,G,S,D+,C,C-,C-,,,,,A-,B,A-,B,C+,B-,80,56,C+,B,B-,B,,C+,C+
Bashford Public School,4447,Electra,Ribchester,Female,695058640,1,0,R1,G,S,S,S,G,S,C,C+,B-,B-,,,,,B+,C+,,C-,B,B,61,93,B,B-,B-,B,,B,B
Bashford Public School,4447,Calley,Couch,Female,818583852,7,0,R1,S,G,G,G,S,S,75,72,70,65,70,65,68,65,70,60,,78,80,72,81,98,,78,88,,70,68,68
Bashford Public School,4447,Donnie,Sollett,Male,256044375,5,0,R1,S,G,S,N,S,N,B+,B,B-,,B+,B,B,,D,D,B-,D+,C,B+,99,46,B,B,B,B+,B+,,C+
Bashford Public School,4447,Lil,Hoult,Female,485382237,4,0,R1,S,S,S,N,S,S,B-,C+,C+,B-,B,B,,,B-,B,,B-,B,B-,42,76,B-,B,B+,B+,,B,B-
Bashford Public School,4447,Layla,Joskowitz,Female,476176498,2,0,R1,G,G,G,G,G,G,D,D,B,B,,,,,C,B-,,C+,B-,B,68,60,I,C+,B,B,B,B-,
Bashford Public School,4447,Pernell,Admans,Male,350852059,5,0,R1,N,S,S,N,G,S,C-,D+,C,,B-,B-,B-,,C-,C-,D,C+,C,C-,80,88,D,B-,B+,B,B,,C+
Bashford Public School,4447,Dmitri,Ishchenko,Male,467127872,6,0,R1,S,G,G,S,G,S,B-,C,B+,B-,B,B,B,B,B+,B+,,B,B-,B-,87,74,B,A-,B,B,B,B+,
Bashford Public School,4447,Marcella,Pigrome,Female,972803710,6,0,R1,E,G,G,G,G,G,B-,C,B-,B,B,B,B,B-,B-,B-,,C,B,C,80,56,C+,C+,B,A-,A,B-,
Bashford Public School,4447,Grayce,Cuncliffe,Female,752809431,6,0,R1,,,,,,,,,,,,,,,,,,,,,59,93,,,,,,,
Bashford Public School,4447,Polly,Worsalls,Female,965988857,1,0,R1,G,G,G,G,G,S,D-,D,B-,B-,,,,,A-,C+,,C+,C+,C+,94,53,B,C+,B-,B,,B-,B
Bashford Public School,4447,Osmund,Hellicar,Male,832006857,1,0,R1,G,G,G,G,G,G,B+,C,B+,B,,,,,B,B,,B,B,B,71,84,B,B,B,B,,B,B
Bashford Public School,4447,Mendel,Vallery,Male,322083966,1,0,R1,S,S,S,S,G,S,B-,C,B-,B-,,,,,B+,C,,B,B,C+,57,97,B-,C+,B-,B,,B-,B
Bashford Public School,4447,Grace,Steart,Male,355187504,8,0,R1,E,E,E,E,E,E,85,80,75,78,87,73,80,87,87,97,,97,88,83,96,99,,80,75,70,73,,80
Bashford Public School,4447,Jasmin,Hatchman,Female,779758789,8,0,R1,G,G,G,G,G,G,72,72,72,78,70,70,72,72,72,67,,78,75,75,53,92,,78,86,75,80,,72
Bashford Public School,4447,Tremain,Houson,Male,872138780,6,0,R1,S,S,S,S,S,G,C-,C-,C-,C,B-,C,C,C,I,I,,B-,I,D,80,58,C,I,B,C,C,I,C
Bashford Public School,4447,Oran,Ballam,Male,162365443,7,0,R1,G,G,G,G,G,G,62,73,70,72,67,63,60,63,60,62,,60,60,79,54,84,,65,70,77,73,82,85
Bashford Public School,4447,Ingar,Scatchard,Male,841606121,1,0,R1,G,G,G,G,G,G,B,C+,B,B,,,,,A-,B+,,A,B,B,87,74,B,B+,B,B,,B,B
Bashford Public School,4447,Karry,Eich,Female,512777112,5,0,R1,G,E,G,G,E,G,C+,C+,C,B,B+,B+,B+,,B+,B+,,B-,B-,B-,39,81,C+,C+,B,B+,B,,B
Bashford Public School,4447,Johnathon,Scyner,Male,418423204,3,0,R1,G,G,G,G,G,S,B+,B,B+,B-,,,,,B+,B,B-,B,C+,B-,78,48,B-,B,A,B,,B+,B+
Bashford Public School,4447,Jodee,Lias,Female,307712685,4,0,R1,N,N,S,G,G,S,C+,B-,B-,B-,C-,C-,,,C+,B,,B,C,B-,83,54,C,C+,B,B+,B,,B-
Bashford Public School,4447,Yulma,Carluccio,Male,504360992,4,0,R1,S,S,G,G,G,G,C,B-,C+,B-,C,C-,,,C+,B+,,B,C+,B-,94,57,C,B-,B,B+,B,,B
Bashford Public School,4447,Kendal,Joslyn,Male,390279551,8,0,R1,G,G,G,G,G,E,75,78,67,78,75,72,78,78,67,78,,65,75,75,52,62,,75,78,78,80,,86
Bashford Public School,4447,Norton,Siseland,Male,597175802,6,0,R1,G,G,S,G,S,S,C,C+,C+,B-,C+,C,C,C,C,C,,C,C,C+,52,48,C,B-,B,B,B+,B-,
Bashford Public School,4447,Aguie,Hutchison,Male,926011575,6,0,R1,S,G,G,G,G,G,B-,C,B,B,B,B,B,B-,B,C,,B-,B,C+,83,80,B-,B-,B-,B+,A,B,
Bashford Public School,4447,Ikey,Partington,Male,795564524,4,0,R1,E,E,E,E,E,E,B-,B+,A-,A-,B,B+,,,A-,A-,,C+,A,A,46,63,A-,A-,A-,B+,B,,B+
Bashford Public School,4447,Pincus,Tellenbach,Male,184195882,4,0,R1,G,E,G,E,E,E,C,B-,B,A-,B-,B,,,B,C,,B+,B-,A,45,80,B+,B+,B+,B+,B,,B
Bashford Public School,4447,Arturo,Delgaty,Male,799156798,8,0,R1,G,G,G,S,G,E,78,83,83,83,82,82,85,85,92,83,,95,92,78,76,50,,75,75,75,80,,70
Bashford Public School,4447,Ilsa,Pulster,Female,193637201,5,0,R1,G,G,G,G,S,S,C,C,C-,C+,B,B-,B,,C,C,,C,B-,B-,54,53,C+,B,B-,B+,B,,B
Bashford Public School,4447,Annice,Nathon,Female,438934426,1,0,R1,S,S,S,S,G,S,C-,B-,B-,B,,,,,A,B+,,B,B,B-,63,70,B-,C,B-,B,,B-,B+
Bashford Public School,4447,Dieter,Chastan,Male,156669989,3,0,R1,S,S,S,N,S,S,C+,B,B-,B-,,,,,B,B+,A-,B,C+,C+,44,44,B-,B,B,B,,B,C+
Bashford Public School,4447,Louis,Klas,Male,557203927,5,0,R1,S,S,G,S,G,S,C+,B-,C,B,B-,B-,B,,A-,A-,,B+,C,B-,71,61,B-,C,B-,B,B,,B-
Bashford Public School,4447,Jaymie,Wynch,Male,283659806,7,0,R1,E,E,E,E,E,G,80,75,78,82,78,78,80,78,82,80,,90,90,90,55,76,,90,70,,90,78,88
Bashford Public School,4447,Thaxter,Dwelly,Male,204813977,8,0,R1,G,E,E,G,E,E,78,80,80,85,87,73,80,83,83,78,,85,82,78,86,86,,85,78,87,76,,90
Bashford Public School,4447,Cyrille,Augustine,Male,254655305,4,0,R1,G,G,S,G,G,G,B+,B,B-,,B,B,,,B,B,B+,B,B+,B-,,,B,B,B,B,B+,,B+
Bashford Public School,4447,Rose,Seakings,Female,791210078,7,0,R1,G,S,G,G,S,G,75,75,70,70,80,82,80,80,90,82,,90,80,85,,,,80,68,,80,78,60
Bashford Public School,4447,Bettine,MacKean,Female,133584933,7,0,R1,E,E,E,E,E,E,78,82,75,80,85,88,85,85,82,80,,90,80,90,,,,90,74,,85,88,80
Bashford Public School,4447,Gloriane,Kinnin,Female,514466676,3,0,R1,E,E,G,E,E,E,B+,B-,B+,B+,,,,,A-,B,A,B,B+,B,,,B,B,A,B,,B+,B+
Bashford Public School,4447,Saxon,Kupke,Male,223630347,7,0,R1,S,G,G,G,G,G,74,73,75,75,80,73,73,73,75,68,,70,75,70,,,,75,75,77,73,79,75
Bashford Public School,4447,Amaleta,Olifaunt,Female,397027686,5,0,R1,S,G,G,G,G,S,C,C+,B-,C-,B+,B+,B+,,B,B+,,B-,C,B-,,,C+,B-,B+,B+,B,,B-
Bashford Public School,4447,Ernst,Restill,Male,915930367,5,0,R1,G,G,G,G,G,S,C-,C-,C-,C,B,B,B,,C+,C-,,C,C,B-,,,B-,B-,B,B+,B,,B-
Bashford Public School,4447,Fabio,Gheraldi,Male,180747961,4,0,R1,E,G,G,G,E,E,B,B-,B+,B,B+,B+,,,B+,B,,B,B+,B-,,,B,B+,C+,B,,B,B
Bashford Public School,4447,Brigg,Cains,Male,608447105,6,0,R1,G,G,S,G,G,G,C,C,C,B,C+,C-,C,C-,C+,C+,,C,C+,C,,,C,B-,B-,B-,B,B-,
Bashford Public School,4447,Noni,Cressor,Female,176465389,8,0,R1,N,S,S,S,G,G,68,63,72,70,73,70,67,67,65,58,,60,68,75,,,,70,80,80,73,,78
Bashford Public School,4447,Bryn,Miell,Male,350781738,5,0,R1,S,S,S,S,S,S,C,C,B-,,B,B-,B,,C,C,C-,C+,C,B+,,,C-,B,C+,B,B+,,B
Bashford Public School,4447,Flinn,Windus,Male,794848549,5,0,R1,G,G,G,E,G,G,C+,B-,C,B,B+,B+,B,,C-,B+,,B-,B,B-,,,B-,B,B+,B,B,,B+
Bashford Public School,4447,Otto,Basson,Male,235359154,5,0,R1,S,G,S,G,G,S,C,B-,B+,B,B,B-,B-,,B-,C-,,D+,C+,C-,,,B,B,B,B+,B,,B
Bashford Public School,4447,Doretta,Fifoot,Female,445815610,8,0,R1,S,N,N,S,G,S,65,60,72,65,60,63,60,60,70,85,,78,70,62,,,,68,80,73,63,,72
Bashford Public School,4447,Cinderella,Tow,Female,612974879,3,0,R1,G,G,G,G,G,G,A-,B+,B,A,,,,,C-,B,B-,B,D-,B-,,,B,B-,B-,B,,B+,A-
Bashford Public School,4447,Christian,Delucia,Male,969992429,3,0,R1,G,G,S,N,G,S,B-,C-,B,B-,,,,,D-,B,D-,B,B,C+,,,B,B-,B-,B,,B,C
Bashford Public School,4447,Catlin,Fortey,Female,424504873,5,0,R1,G,G,S,S,G,S,C,C,C+,B-,C,C-,C-,,C,B,,B-,C+,C,,,C,C,C+,B,B,,C+
Bashford Public School,4447,Elyse,Aspey,Female,226924494,6,0,R1,E,E,E,E,E,E,B+,B+,B+,A,B+,B+,B+,B+,A,A,,A-,A,B+,,,A-,A,A-,A-,A,B+,
Bashford Public School,4447,Boy,Armitage,Male,804430317,1,0,R1,S,N,S,S,S,N,C-,D+,B+,B,,,,,B-,B,,B,B,B,,,B,B,B,B,,B,B-
Bashford Public School,4447,Giustina,Hick,Female,618427960,4,0,R1,E,E,G,E,G,G,A-,B,B+,B+,B,B+,,,B,C,,A-,B+,B+,,,B,B+,B,A-,B,,A-
Bashford Public School,4447,Portie,Redhead,Male,429962760,8,0,R1,E,G,E,G,E,G,68,72,75,70,77,70,73,73,70,92,,88,82,72,,,,68,88,87,73,,70
Bashford Public School,4447,Letta,Borham,Female,383832001,6,0,R1,S,G,S,G,G,G,B,C+,C+,B+,B,B,B,B+,C-,C,,B,B,B,,,B-,B,A-,B,B+,B,C
Bashford Public School,4447,Dorisa,Maven,Female,912494292,4,0,R1,G,G,S,G,S,G,C+,C+,B+,,B+,B,,,C+,B-,B,B,C+,B,,,B-,B-,B,B+,A,,B
Bashford Public School,4447,Cecilius,McLoney,Male,769641677,6,0,R1,G,G,G,G,G,G,B,C+,B,B,B-,B-,B-,C+,B-,B,,B-,B-,B+,,,B+,B+,A,B,B,B,C
Bashford Public School,4447,Sheeree,Gussin,Female,926782608,2,0,R1,G,E,G,E,E,E,A,B,A,B,,,,,A,A,,B,A,B,,,B,B,A,B,A,B,
Bashford Public School,4447,Rodrigo,Fitchew,Male,347029816,7,0,R1,G,G,G,G,G,G,70,70,70,75,80,85,80,78,72,70,,62,55,75,,,,85,74,,85,80,80
Bashford Public School,4447,Agnesse,Hunnicot,Female,742240765,4,0,R1,E,E,E,E,E,G,C,C+,B-,B+,C,C-,,,C+,C,,C+,B-,B+,,,B+,A-,A-,B+,B,,B-
Bashford Public School,4447,Luisa,Locksley,Female,726636833,7,0,R1,G,G,G,G,G,G,68,72,75,72,77,77,73,73,75,70,,70,70,79,,,,65,75,80,77,88,70
Bashford Public School,4447,Rozelle,Boucher,Female,725718824,3,0,R1,E,E,G,E,E,E,B+,A,B,B+,,,,,A,B+,A,B,A+,B,,,A,B+,A-,B,,B,B+
Bashford Public School,4447,Amelina,Halksworth,Female,563110692,1,0,R1,G,S,S,S,G,S,B,B,B,B,,,,,A-,C+,,B,B,B+,,,B,B,B,B,,B,B
Bashford Public School,4447,Jobie,Stanbra,Female,329818647,1,0,R1,G,G,G,G,G,G,C+,B,B-,B,,,,,A-,B-,,B,B,C,,,B,C-,B,B,,B,B+
Bashford Public School,4447,Hermie,Furlow,Male,667808880,2,0,R1,E,E,E,E,E,E,B,B,B,B,,,,,C+,B,,B,B,B+,,,B,B,B,B,B,B,
Bashford Public School,4447,Elvera,Hexam,Female,624239654,5,0,R1,G,G,G,G,G,G,B-,B-,B-,,B-,B-,B-,,C,C,B+,B,C+,B+,,,B-,B,B,B-,B,,B
